PID	TID	Process	FD	Path	Device	Inode	Type	Mode	Changed	Modified	Accessed	Size

1	1	systemd	0	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
1	1	systemd	1	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
1	1	systemd	2	/dev/null	0:5	5	CHR	crw-rw-rw-	2025-11-19 17:40:47.286847 UTC	2025-11-19 17:01:53.198830 UTC	2025-11-19 17:01:53.198830 UTC	0
1	1	systemd	3	/dev/kmsg	0:5	11	CHR	crw-r--r--	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	2025-11-19 17:01:53.184830 UTC	0
1	1	systemd	4	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	5	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	6	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	7	/sys/fs/cgroup	0:28	1	DIR	dr-xr-xr-x	2025-11-19 17:01:03.018416 UTC	2025-11-19 17:01:03.018416 UTC	2025-11-19 17:01:00.844511 UTC	0
1	1	systemd	8	/dev/rfkill	0:5	2	CHR	crw-rw-r--	2025-11-19 17:02:21.412832 UTC	2025-11-19 17:01:53.265830 UTC	2025-11-19 17:01:53.265830 UTC	0
1	1	systemd	9	/usr/lib/systemd/systemd-executor	252:0	1325125	REG	-rwxr-xr-x	2025-11-18 12:56:55.782794 UTC	2025-07-02 14:04:32.000000 UTC	2025-11-19 17:01:01.350012 UTC	137792
1	1	systemd	11	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	12	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	13	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	14	/proc/1/mountinfo	0:23	3959	REG	-r--r--r--	2025-11-19 17:01:00.395012 UTC	2025-11-19 17:01:00.395012 UTC	2025-11-19 17:01:00.395012 UTC	0
1	1	systemd	15	anon_inode:[66]	0:15	66	-	?rw-------	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	2025-11-19 16:58:42.147000 UTC	0
1	1	systemd	16	/proc/swaps	0:23	4026532074	REG	-r--r--r--	2025-11-19 17:01:00.443012 UTC	2025-11-19 17:01:00.443012 UTC	2025-11-19 17:01:00.443012 UTC	0
1	1	systemd	17	socket:[3981]	0:8	3981	SOCK	srwxrwxrwx	-	-	-	0
1	1	systemd	18	socket:[3982]	0:8	3982	SOCK	srwxrwxrwx	-	-	-	0
