Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter

0x10008c400	AF_UNIX	DGRAM	-	-	23600	-	23599	CONNECTED	-
0x10008c800	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent.extra	23792	-	-	LISTEN	-
0x10008cc00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	0	-	-	CLOSE	-
0x10008d000	AF_UNIX	STREAM	-	/var/run/vmware/guestServicePipe	14939	-	-	LISTEN	-
0x10008d400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	18211		23602	ESTABLISHED	-
0x10008d800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15498	-	14826	ESTABLISHED	-
0x10008dc00	AF_UNIX	STREAM	-	/run/u	0	-	-	CLOSE	-
0x10008e400	AF_UNIX	STREAM	-	/run/systemd/io.systemd.sysext	11805	-	-	LISTEN	-
0x10008e800	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x10008ec00	AF_UNIX	STREAM	-	-	14826	/run/systemd/journal/stdout	15498	ESTABLISHED	-
0x10008f000	AF_UNIX	STREAM	-	/run/systemd/journal/io.systemd.journal	11580	-	-	LISTEN	-
0x10008f400	AF_UNIX	STREAM	-	/run/user/1000/systemd/private	23601	-	-	LISTEN	-
0x10008f800	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x10008fc00	AF_UNIX	STREAM	-		23602	/run/dbus/system_bus_socket	18211	ESTABLISHED	-
0x1000a2e80	Unknown socket family		-	-	-	-	-	Unknown socket state	-
0x1000a8780	Unknown socket family		-	-	-	-	-	Unknown socket state	-
0x1000ac000	Unknown socket family		-	-	-	-	-	Unknown socket state	-
0x1000b0cd0	Unknown socket family		-	-	-	-	-	Unknown socket state	-
0x1000f9a30	Unknown socket family		-	-	-	-	-	Unknown socket state	-
0x1003f9800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x1003fc800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x800405dd	1	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
Progress:   53.54		Scanning memory_layer using MultiStringScanner
Progress:   53.75		Scanning memory_layer using MultiStringScanner
0x105690400	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	23598	-	-	UNCONNECTED	-
Progress:   53.96		Scanning memory_layer using MultiStringScanner
Progress:   54.17		Scanning memory_layer using MultiStringScanner
0x104848000	AF_UNIX	DGRAM	-	-	10975	-	10976	CONNECTED	-
0x104848400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16449		16395	ESTABLISHED	-
0x104848800	AF_UNIX	STREAM	-	/run/user/0/bus	23787	-	-	LISTEN	-
0x104848c00	AF_UNIX	STREAM	-	-	10892	/run/systemd/journal/stdout	10894	ESTABLISHED	-
0x104849000	AF_UNIX	STREAM	-	-	10489	/run/systemd/journal/stdout	11669	ESTABLISHED	-
0x104849400	AF_UNIX	DGRAM	-	-	10976	-	10975	CONNECTED	-
0x104849800	AF_UNIX	DGRAM	-	-	10978	-	10977	CONNECTED	-
0x10484a000	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	15161	-	14239	ESTABLISHED	-
0x10484a800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	11669	-	10489	ESTABLISHED	-
0x10484ac00	AF_UNIX	STREAM	-	-	14239	/run/dbus/system_bus_socket	15161	ESTABLISHED	-
0x10484b000	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.dirmngr	23788	-	-	LISTEN	-
0x10484b400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10894	-	10892	ESTABLISHED	-
0x10484b800	AF_UNIX	STREAM	-		16395	/run/dbus/system_bus_socket	16449	ESTABLISHED	-
0x10484bc00	AF_UNIX	DGRAM	-	-	10977	-	10978	CONNECTED	-
0x104aa0940	AF_INET	STREAM	TCP	127.0.0.53	53	0.0.0.0	0	LISTEN	-
0x104aa1280	AF_INET	STREAM	TCP	192.168.200.177	22	192.168.200.1	63600	ESTABLISHED	-
0x104aa1bc0	AF_INET	STREAM	TCP	127.0.0.54	53	0.0.0.0	0	LISTEN	-
0x104aa2500	AF_INET	STREAM	TCP	192.168.200.177	22	192.168.200.1	63602	ESTABLISHED	-
0x104aa3780	AF_INET	STREAM	TCP	127.0.0.1	39594	127.0.0.1	27500	CLOSE	-
0x104ddc000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16454	-	13886	ESTABLISHED	-
0x104ddc400	AF_UNIX	STREAM	-	-	17846	/run/dbus/system_bus_socket	17124	ESTABLISHED	-
0x104ddc800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	0	-	-	CLOSE	-
0x104ddcc00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	17119	-	17837	ESTABLISHED	-
0x104ddd000	AF_UNIX	STREAM	-	-	14150	/run/systemd/journal/stdout	16673	ESTABLISHED	-
0x104ddd400	AF_UNIX	STREAM	-	/run/uuidd/request	13815	-	-	LISTEN	-
0x104ddd800	AF_UNIX	STREAM	-	/run/snapd.socket	13792	-	-	LISTEN	-
0x104dddc00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16673	-	14150	ESTABLISHED	-
0x104dde000	AF_UNIX	STREAM	-	/run/lxd-installer.socket	13791	-	-	LISTEN	-
0x104dde400	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x104dde800	AF_UNIX	STREAM	-	-	17837	/run/systemd/journal/stdout	17119	ESTABLISHED	-
0x104ddec00	AF_UNIX	STREAM	-	-	13886	/run/systemd/journal/stdout	16454	ESTABLISHED	-
0x104ddf000	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x104ddf400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	17124	-	17846	ESTABLISHED	-
0x104ddf800	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	0	-	-	CLOSE	-
0x104ddfc00	AF_UNIX	STREAM	-	/run/snapd-snap.socket	13794	-	-	LISTEN	-
Progress:   54.38		Scanning memory_layer using MultiStringScanner
0x105690400	AF_UNIX	DGRAM	-	/run/user/1000/systemd/notify	23598	-	-	UNCONNECTED	-
0x105690800	AF_UNIX	STREAM	-	-	16632	/run/dbus/system_bus_socket	16633	ESTABLISHED	-
0x105690c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	18305		23780	ESTABLISHED	-
0x105691000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	22590	-	23571	ESTABLISHED	-
0x105691400	AF_UNIX	STREAM	-	/run/user/0/systemd/private	23779	-	-	LISTEN	-
0x105691800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16658	-	16657	ESTABLISHED	-
0x105691c00	AF_UNIX	DGRAM	-	-	23599	-	23600	CONNECTED	-
0x105692000	AF_UNIX	STREAM	-		23780	/run/dbus/system_bus_socket	18305	ESTABLISHED	-
0x105692800	AF_UNIX	STREAM	-	-	23571	/run/systemd/journal/stdout	22590	ESTABLISHED	-
0x105692c00	AF_UNIX	STREAM	-	-	16446	-	16445	ESTABLISHED	-
0x105693000	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16633	-	16632	ESTABLISHED	-
0x105693400	AF_UNIX	STREAM	-	-	16657	/run/systemd/journal/stdout	16658	ESTABLISHED	-
0x105693800	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent.browser	23790	-	-	LISTEN	-
0x1056a0000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2706	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x1056e0000	AF_UNIX	STREAM	-	-	18256	-	0	ESTABLISHED	-
0x1056e0400	AF_UNIX	STREAM	-	-	15606	/run/dbus/system_bus_socket	16527	ESTABLISHED	-
0x1056e0800	AF_UNIX	STREAM	-	-	15731	/run/dbus/system_bus_socket	15082	ESTABLISHED	-
0x1056e0c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16659	-	15675	ESTABLISHED	-
0x1056e1000	AF_UNIX	STREAM	-	-	18227	-	18226	ESTABLISHED	-
0x1056e1400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16527	-	15606	ESTABLISHED	-
0x1056e1800	AF_UNIX	STREAM	-	/run/user/0/snapd-session-agent.socket	18312	-	-	LISTEN	-
0x1056e1c00	AF_UNIX	STREAM	-	-	15675	/run/systemd/journal/stdout	16659	ESTABLISHED	-
0x1056e2800	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x1056e2c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	15082	-	15731	ESTABLISHED	-
0x1056e3800	AF_UNIX	STREAM	-	-	18226	-	18227	ESTABLISHED	-
0x1056e3c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16524		15583	ESTABLISHED	-
Progress:   54.58		Scanning memory_layer using MultiStringScanner
0x106348800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	666	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106349800	AF_NETLINK	RAW	NETLINK_GENERIC	groups:0x00240000	666	group:0x00000000	0	UNCONNECTED	-
0x10634c000	AF_PACKET	RAW	0x88cc	ens33	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106838000	AF_UNIX	STREAM	-	-	14968	/run/systemd/journal/stdout	15551	ESTABLISHED	-
0x106838400	AF_UNIX	STREAM	-	-	15165	-	15166	ESTABLISHED	-
0x106838800	AF_UNIX	STREAM	-	+	0	-	-	CLOSE	-
0x106838c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	0	-	-	CLOSE	-
0x106839000	AF_UNIX	STREAM	-	-	15031	/run/systemd/journal/stdout	15613	ESTABLISHED	-
0x106839400	AF_UNIX	STREAM	-	-	18447	/run/systemd/journal/stdout	16875	ESTABLISHED	-
0x106839800	AF_UNIX	STREAM	-	-	15166	-	15165	ESTABLISHED	-
0x106839c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16875	-	18447	ESTABLISHED	-
0x10683a000	AF_UNIX	STREAM	-	/run/user/0/pk-debconf-socket	18310	-	-	LISTEN	-
0x10683a400	AF_UNIX	STREAM	-		14978	/run/dbus/system_bus_socket	16513	ESTABLISHED	-
0x10683a800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15613	-	15031	ESTABLISHED	-
0x10683ac00	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent	18306	-	-	LISTEN	-
0x10683b000	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.keyboxd	18308	-	-	LISTEN	-
0x10683b400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16513		14978	ESTABLISHED	-
0x10683b800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15551	-	14968	ESTABLISHED	-
0x106890400	AF_UNIX	STREAM	-	-	13748	/run/systemd/journal/stdout	15489	ESTABLISHED	-
0x106890800	AF_UNIX	DGRAM	-	-	13755	-	13756	CONNECTED	-
0x106890c00	AF_UNIX	STREAM	-		13785	-	-	LISTEN	-
0x106891000	AF_UNIX	DGRAM	-	-	13754	-	13753	CONNECTED	-
0x106891400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10796	-	13581	ESTABLISHED	-
0x106891800	AF_UNIX	STREAM	-		13783	/run/dbus/system_bus_socket	16450	ESTABLISHED	-
0x106891c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16450		13783	ESTABLISHED	-
0x106892000	AF_UNIX	DGRAM	-	-	13753	-	13754	CONNECTED	-
0x106892400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	13781	-	-	LISTEN	-
0x106892c00	AF_UNIX	STREAM	-	-	13581	/run/systemd/journal/stdout	10796	ESTABLISHED	-
0x106893000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15489	-	13748	ESTABLISHED	-
0x106893400	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent.ssh	18318	-	-	LISTEN	-
0x106893c00	AF_UNIX	DGRAM	-	-	13756	-	13755	CONNECTED	-
0x106cd8000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3304035431	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cda000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	880	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cda800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1063	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cdc800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	891	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cde800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3789713101	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cdf000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3562445331	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
